Id,SalePrice
1461,120490
1462,164174
1463,182755
1464,189075
1465,182118
1466,173305
1467,170065
1468,165019
1469,189199
1470,128212
1471,203773
1472,93059
1473,95099
1474,151444
1475,128779
1476,419936
1477,265996
1478,306863
1479,253743
1480,506692
1481,323159
1482,211952
1483,166074
1484,163849
1485,175116
1486,190598
1487,371233
1488,221514
1489,206801
1490,223261
1491,190686
1492,92391
1493,187062
1494,296191
1495,279624
1496,242745
1497,175867
1498,159570
1499,167149
1500,154231
1501,179209
1502,146256
1503,304678
1504,232298
1505,226042
1506,196145
1507,241082
1508,200586
1509,167302
1510,147716
1511,144590
1512,172976
1513,147218
1514,162414
1515,193616
1516,155874
1517,158048
1518,135118
1519,232894
1520,136763
1521,136333
1522,164031
1523,112023
1524,124545
1525,124455
1526,119180
1527,102454
1528,132790
1529,151842
1530,181528
1531,112371
1532,99516
1533,145685
1534,121341
1535,154799
1536,105560
1537,69140
1538,198209
1539,196750
1540,85923
1541,142529
1542,136942
1543,230083
1544,78042
1545,111472
1546,128488
1547,134269
1548,141790
1549,118566
1550,147178
1551,113243
1552,143084
1553,157365
1554,112366
1555,167845
1556,79786
1557,108396
1558,94053
1559,61722
1560,133401
1561,138810
1562,128856
1563,123100
1564,158826
1565,147567
1566,226183
1567,71893
1568,228352
1569,143231
1570,129949
1571,123430
1572,147146
1573,250538
1574,115714
1575,221892
1576,227967
1577,195721
1578,149109
1579,148286
1580,192318
1581,153897
1582,128817
1583,328142
1584,228585
1585,139342
1586,77253
1587,95129
1588,159541
1589,98977
1590,135976
1591,94060
1592,115629
1593,131400
1594,120681
1595,109751
1596,238792
1597,199081
1598,226882
1599,180437
1600,176987
1601,72299
1602,110025
1603,80918
1604,276004
1605,243141
1606,164492
1607,183347
1608,209455
1609,188752
1610,157394
1611,141161
1612,173900
1613,156573
1614,122223
1615,88011
1616,64604
1617,89465
1618,124225
1619,142574
1620,152692
1621,131814
1622,151581
1623,292379
1624,214069
1625,124977
1626,169543
1627,188422
1628,275546
1629,181498
1630,396225
1631,225840
1632,244543
1633,168454
1634,184743
1635,180046
1636,152796
